time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,1.77,1.61,0,51.452367,5.485161,18.00,102,5
1,0,1,3.89,1.72,0,51.452367,5.485186,18.00,102,0
2,0,1,6.08,1.83,0,51.452368,5.485213,18.00,103,0
3,0,1,8.40,2.08,0,51.452368,5.485243,18.00,104,1
4,0,1,10.83,2.34,1,51.452368,5.485275,18.00,105,6
5,0,1,13.30,2.42,1,51.452367,5.485309,18.00,105,6
6,0,1,15.81,2.57,1,51.452367,5.485345,18.00,107,4
7,0,1,18.36,2.43,1,51.452367,5.485382,18.00,108,2
8,0,1,20.94,2.48,2,51.452366,5.485420,18.00,109,2
9,0,1,23.57,2.59,2,51.452366,5.485460,18.00,111,3
10,0,1,26.23,2.61,2,51.452366,5.485500,18.00,112,3
11,0,1,28.89,2.55,2,51.452367,5.485540,18.00,113,2
12,0,1,31.60,2.61,3,51.452367,5.485581,18.00,115,3
13,0,1,34.38,2.93,3,51.452368,5.485621,18.00,116,3
14,0,1,37.20,2.73,3,51.452370,5.485662,18.00,117,2
15,0,1,40.03,2.61,3,51.452372,5.485702,18.00,118,3
16,0,1,42.89,2.62,4,51.452374,5.485742,18.00,119,2
17,0,1,45.78,2.69,4,51.452376,5.485781,18.00,120,3
18,0,1,48.67,2.58,4,51.452377,5.485821,18.00,121,5
19,0,1,51.54,2.53,5,51.452378,5.485860,18.00,122,3
20,0,1,54.41,2.71,5,51.452378,5.485898,18.00,123,3
21,0,1,57.29,2.29,5,51.452378,5.485937,18.00,124,1
22,0,1,60.17,2.26,5,51.452376,5.485975,18.00,126,6
23,0,1,63.04,2.39,6,51.452374,5.486014,17.00,127,6
24,0,1,65.91,2.64,6,51.452372,5.486052,17.00,128,2
25,0,1,68.78,2.51,6,51.452369,5.486090,17.00,129,2
26,0,1,71.66,2.70,7,51.452367,5.486128,17.00,130,3
27,0,1,74.53,2.15,7,51.452366,5.486167,17.00,131,3
28,0,1,77.40,1.71,7,51.452365,5.486205,17.00,132,2
29,0,1,80.27,1.77,7,51.452364,5.486244,17.00,132,3
30,0,1,83.15,1.88,8,51.452363,5.486283,17.00,133,3
31,0,1,86.02,2.15,8,51.452362,5.486323,17.00,132,1
32,0,1,88.89,2.55,8,51.452362,5.486362,17.00,131,4
33,0,1,91.76,2.69,8,51.452361,5.486403,17.00,131,2
34,0,1,94.63,2.46,9,51.452360,5.486443,17.00,131,3
35,0,1,97.50,2.52,9,51.452360,5.486484,17.00,131,4
36,0,1,100.37,2.61,9,51.452359,5.486525,17.00,131,3
37,0,1,103.24,2.52,10,51.452358,5.486567,17.00,132,2
38,0,1,106.11,2.48,10,51.452357,5.486608,17.00,132,3
39,0,1,108.98,2.46,10,51.452356,5.486650,17.00,132,3
40,0,1,111.85,2.61,10,51.452355,5.486693,16.00,132,3
41,0,1,114.72,2.70,11,51.452355,5.486735,17.00,132,2
42,0,1,117.59,2.88,11,51.452354,5.486777,17.00,132,2
43,0,1,120.46,2.73,11,51.452354,5.486819,17.00,132,3
44,0,1,123.33,2.65,12,51.452353,5.486861,17.00,132,3
45,0,1,126.20,2.51,12,51.452353,5.486902,17.00,132,2
46,0,1,129.07,2.69,12,51.452352,5.486943,17.00,132,3
47,0,1,131.94,2.74,12,51.452352,5.486982,17.00,132,2
48,0,1,134.81,2.41,13,51.452351,5.487022,17.00,133,3
49,0,1,137.44,2.12,13,51.452351,5.487060,17.00,133,3
50,0,1,139.95,2.09,13,51.452350,5.487097,17.00,134,2
51,0,1,142.32,1.95,14,51.452349,5.487133,17.00,134,3
52,0,1,144.76,1.99,14,51.452348,5.487168,17.00,134,2
53,0,1,147.58,2.36,14,51.452347,5.487203,17.00,135,3
54,0,1,150.52,2.45,14,51.452346,5.487240,17.00,136,3
55,0,1,153.65,2.67,15,51.452346,5.487281,17.00,136,2
56,0,1,156.86,2.75,15,51.452347,5.487327,17.00,136,3
57,0,1,160.45,3.12,15,51.452348,5.487376,17.00,138,3
58,0,1,163.97,3.14,15,51.452351,5.487427,17.00,138,4
59,0,1,163.97,3.22,16,51.452354,5.487477,17.00,139,3
60,0,1,163.97,3.12,16,51.452357,5.487526,17.00,140,5
61,0,1,167.28,2.96,16,51.452360,5.487574,17.00,141,5
62,0,1,167.28,2.92,17,51.452364,5.487621,17.00,141,3
63,0,1,167.28,3.03,17,51.452368,5.487668,17.00,142,2
64,0,1,170.62,2.96,17,51.452371,5.487714,17.00,142,3
65,0,1,178.45,2.89,17,51.452375,5.487760,17.00,142,2
66,0,1,181.98,3.18,18,51.452378,5.487804,17.00,143,2
67,0,1,185.45,3.09,18,51.452382,5.487849,17.00,144,4
68,0,1,187.95,2.90,18,51.452385,5.487893,17.00,144,2
69,0,1,191.14,2.93,19,51.452388,5.487936,18.00,144,3
70,0,1,194.47,3.07,19,51.452390,5.487979,18.00,145,5
71,0,1,197.40,2.84,19,51.452393,5.488021,18.00,145,5
72,0,1,200.39,2.71,19,51.452395,5.488063,18.00,146,2
73,0,1,203.36,2.69,20,51.452397,5.488105,18.00,146,3
74,0,1,206.46,2.68,20,51.452399,5.488146,18.00,146,2
75,0,1,209.41,2.61,20,51.452400,5.488187,18.00,146,3
76,0,1,212.41,2.75,21,51.452401,5.488228,18.00,145,3
77,0,1,214.92,2.69,21,51.452402,5.488268,18.00,145,3
78,0,1,217.76,2.59,21,51.452402,5.488308,18.00,145,2
79,0,1,220.65,2.64,21,51.452402,5.488348,18.00,145,3
80,0,1,223.18,2.69,22,51.452401,5.488388,18.00,145,2
81,0,1,226.34,2.73,22,51.452401,5.488428,18.00,145,3
82,0,1,229.43,2.60,22,51.452400,5.488468,18.00,144,2
83,0,1,231.43,2.69,22,51.452399,5.488507,18.00,144,6
84,0,1,234.41,2.58,23,51.452398,5.488547,18.00,143,6
85,0,1,237.33,2.55,23,51.452397,5.488586,18.00,140,2
86,0,1,239.86,2.71,23,51.452396,5.488625,18.00,139,3
87,0,1,242.95,2.69,24,51.452395,5.488665,18.00,137,3
88,0,1,245.89,2.57,24,51.452394,5.488704,18.00,137,2
89,0,1,248.33,2.47,24,51.452393,5.488743,18.00,137,3
90,0,1,251.20,2.65,24,51.452392,5.488783,18.00,138,2
91,0,1,254.05,2.66,25,51.452391,5.488822,18.00,138,3
92,0,1,256.59,2.57,25,51.452391,5.488862,18.00,139,2
93,0,1,259.32,2.54,25,51.452391,5.488902,18.00,140,3
94,0,1,262.02,2.51,26,51.452390,5.488942,18.00,140,3
95,0,1,264.81,2.56,26,51.452390,5.488982,18.00,141,2
96,0,1,267.77,2.74,26,51.452390,5.489022,18.00,141,3
